medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
87EC71AD17EADAF165B14AA80C54063A,1AAC450CC06F0659A87D644F2AE0433D,VTS,1,,2013-07-03 08:35:00,2013-07-03 08:43:00,1,480,.10,-73.987785,40.741879,-73.97905,40.753101
9F98EBCCE457E488A11CB506F7BE885D,E1316D9515508E41904A3A8DCCAC33CE,VTS,1,,2013-07-03 06:34:00,2013-07-03 06:35:00,6,60,.53,-73.987389,40.733177,-73.984131,40.739376
17350738AE74E1CC72F20B5963E83521,8D0379F84E40964E4E286C37C023268B,VTS,1,,2013-07-03 11:09:00,2013-07-03 11:16:00,1,420,.86,-73.97683,40.757969,-73.975349,40.749199
A8D469ED600AB390779BA4BF323D3141,1F013D57ACE372ACDF0316EE091CF387,VTS,1,,2013-07-03 11:00:00,2013-07-03 11:09:00,1,540,1.59,-73.95192,40.784286,-73.966728,40.765076
768D150B38EA5354113A8F570BAF0875,9F0CF4804790553EE8AA7D1A87D86F8D,VTS,1,,2013-07-03 09:07:00,2013-07-03 09:19:00,2,720,1.34,-73.991882,40.74366,-73.980782,40.759972
B353F7216C16913462430D82983F3754,72B687072AD6B446F0A9E70CF7FA49D5,VTS,1,,2013-07-03 09:23:00,2013-07-03 09:55:00,1,1920,10.06,-73.978096,40.788742,-73.872505,40.774529
D571E5505D611939C87277AA9ACB3AFA,2C25D3EF75FBA9996314AAD043F587B4,VTS,1,,2013-07-03 09:57:00,2013-07-03 10:02:00,3,300,.52,-73.980766,40.730629,-73.989143,40.734238
171FD91CBF0D6FABF499A9452A4950D5,6A9CD640DF35C6E86E68A475E6FBECAE,VTS,1,,2013-07-03 11:13:00,2013-07-03 11:35:00,1,1320,4.94,-74.006699,40.7318,-73.957191,40.766354
4C0D0C6662D6B60682E8A76D9CE82904,3CA03EC0F399E67017125F933BD871EC,VTS,1,,2013-07-03 11:27:00,2013-07-03 11:33:00,5,360,.90,-73.992538,40.753922,-73.983681,40.762314
76AC5C0F44D07BA5A2291F19E730B0B9,2348E03BB8227595281D9D6B38E45B38,VTS,1,,2013-07-03 10:12:00,2013-07-03 10:22:00,2,600,3.30,-74.01606,40.709923,-73.991486,40.697571
C2BE20999D1EB335DC90AF9DC9522DF3,7CDADD276F64384887D36EC77212E554,VTS,1,,2013-07-03 08:39:00,2013-07-03 08:43:00,1,240,.86,-73.978195,40.74992,-73.991081,40.751266
3020BDF11FA1B155DFF83664C70AF7BD,236D719955887C9FF64C760671BCE4B2,VTS,1,,2013-07-03 10:53:00,2013-07-03 11:24:00,1,1860,3.83,-73.953148,40.710815,-74.007233,40.718216
3634D8684835145CC61403DD2E32E383,BFFE892CFAC8BBB550F2F3B333F3F479,VTS,1,,2013-07-03 07:03:00,2013-07-03 07:08:00,1,300,1.17,-73.954613,40.78072,-73.942268,40.787155
B423551C4179635ADFB12CCE20C62EBA,691EF60D6452F3AC9A8EA79730863369,VTS,1,,2013-07-03 09:15:00,2013-07-03 09:31:00,2,960,2.07,-73.99646,40.732948,-73.98204,40.75769
